Country,Region,year,index,value
IT,Liguria,2023-01-01,Secundary,9624.2
IT,Lombardia,2015-01-01,Secundary,92697.0
IT,Lombardia,2016-01-01,Secundary,93837.4
IT,Lombardia,2017-01-01,Secundary,96392.7
IT,Lombardia,2018-01-01,Secundary,97287.3
IT,Lombardia,2019-01-01,Secundary,96982.5
IT,Lombardia,2020-01-01,Secundary,86776.3
IT,Lombardia,2021-01-01,Secundary,100602.4
IT,Lombardia,2022-01-01,Secundary,102176.09999999999
IT,Lombardia,2023-01-01,Secundary,103496.0
IT,Marche,2015-01-01,Secundary,10743.3
IT,Marche,2016-01-01,Secundary,10837.599999999999
IT,Marche,2017-01-01,Secundary,11272.199999999999
IT,Marche,2018-01-01,Secundary,11314.1
IT,Marche,2019-01-01,Secundary,11615.6
IT,Marche,2020-01-01,Secundary,10321.0
IT,Marche,2021-01-01,Secundary,11799.2
IT,Marche,2022-01-01,Secundary,12549.2
IT,Marche,2023-01-01,Secundary,12749.2
IT,Molise,2015-01-01,Secundary,1016.8
IT,Molise,2016-01-01,Secundary,1131.9
IT,Molise,2017-01-01,Secundary,1184.2
IT,Molise,2018-01-01,Secundary,1263.3000000000002
IT,Molise,2019-01-01,Secundary,1333.1
IT,Molise,2020-01-01,Secundary,1040.4
IT,Molise,2021-01-01,Secundary,1240.0
IT,Molise,2022-01-01,Secundary,1262.9
IT,Molise,2023-01-01,Secundary,1418.9
IT,Piemonte,2015-01-01,Secundary,33471.2
IT,Piemonte,2016-01-01,Secundary,34401.6
IT,Piemonte,2017-01-01,Secundary,35957.8
IT,Piemonte,2018-01-01,Secundary,36414.6
IT,Piemonte,2019-01-01,Secundary,35817.2
IT,Piemonte,2020-01-01,Secundary,31274.8
IT,Piemonte,2021-01-01,Secundary,36487.8
IT,Piemonte,2022-01-01,Secundary,37050.2
IT,Piemonte,2023-01-01,Secundary,38691.1
IT,Puglia,2015-01-01,Secundary,11355.0
IT,Puglia,2016-01-01,Secundary,11858.2
IT,Puglia,2017-01-01,Secundary,11793.0
IT,Puglia,2018-01-01,Secundary,12129.0
IT,Puglia,2019-01-01,Secundary,11825.7
IT,Puglia,2020-01-01,Secundary,10658.8
IT,Puglia,2021-01-01,Secundary,12743.1
IT,Puglia,2022-01-01,Secundary,14261.7
IT,Puglia,2023-01-01,Secundary,14317.8
IT,Sardegna,2015-01-01,Secundary,5414.2
IT,Sardegna,2016-01-01,Secundary,4545.200000000001
IT,Sardegna,2017-01-01,Secundary,4500.9
IT,Sardegna,2018-01-01,Secundary,4326.7
IT,Sardegna,2019-01-01,Secundary,4446.0
IT,Sardegna,2020-01-01,Secundary,3456.7
IT,Sardegna,2021-01-01,Secundary,4206.6
IT,Sardegna,2022-01-01,Secundary,4775.6
